"","x","y"
"1",302.020200723883,154.549340199976
"2",235.995233057002,134.433034296311
"3",335.752422021218,312.598222922045
"4",126.4645197118,6.36765060110508
"5",299.585482998157,154.942701705283
"6",229.436638658819,129.824494407336
"7",325.313703428017,311.231964865756
"8",124.105371765563,14.2245096117377
"9",307.885342429921,164.283825952485
"10",235.872718054256,134.573052977307
"11",337.704597325492,317.522871552566
"12",130.14275380372,12.4932822797986
"13",304.7594242946,160.209128994306
"14",234.283406362574,137.107472853147
"15",335.047431920294,314.541132580315
"16",130.364812457429,9.45887710435748
"17",305.796002245528,159.171519877654
"18",234.267184558087,137.204064620433
"19",331.442915712339,309.262276141484
"20",125.958309592861,8.93269693279321
"21",305.957976166779,154.202519193986
"22",236.44086052707,128.390101368834
"23",332.810814236513,314.956440854711
"24",124.820212806189,10.883025028117
"25",309.761874814161,157.164321250176
